Wavelength [nm],Absolute Responsivity [A/W],Relative Expanded Uncertainty (k=2) [%]
200.0,0.110975,6.0
210.0,0.10787,3.9
220.0,0.104305,2.0
230.0,0.104305,2.0
240.0,0.10695,2.0
250.0,0.096945,2.0
260.0,0.08625,2.0
270.0,0.078085,1.1
280.0,0.08211,1.1
290.0,0.095335,1.1
300.0,0.11615,1.1
310.0,0.12765,1.0
320.0,0.1357,1.1
330.0,0.13915,1.1
340.0,0.1426,1.1
350.0,0.1449,0.56
360.0,0.1426,0.5
370.0,0.14605,0.48
380.0,0.16215,0.46
390.0,0.1794,0.4
400.0,0.1932,0.38
410.0,0.20585,0.34
420.0,0.2162,0.32
430.0,0.22655,0.3
440.0,0.2369,0.28
450.0,0.2461,0.24
460.0,0.2553,0.24
470.0,0.26335,0.22
480.0,0.27255,0.22
490.0,0.2829,0.22
500.0,0.29095,0.22
510.0,0.299,0.22
520.0,0.30705,0.2
530.0,0.3128,0.2
540.0,0.32085,0.2
550.0,0.3289,0.2
560.0,0.3358,0.2
570.0,0.34385,0.2
580.0,0.3519,0.2
590.0,0.3588,0.2
600.0,0.3657,0.2
610.0,0.3726,0.2
620.0,0.38065,0.2
630.0,0.38755,0.2
640.0,0.39445,0.2
650.0,0.4025,0.2
660.0,0.41055,0.2
670.0,0.41745,0.2
680.0,0.42435,0.2
690.0,0.4324,0.2
700.0,0.4393,0.2
710.0,0.44735,0.2
720.0,0.45425,0.2
730.0,0.4623,0.2
740.0,0.47035,0.2
750.0,0.4807,0.2
760.0,0.483,0.2
770.0,0.4899,0.2
780.0,0.49795,0.2
790.0,0.50255,0.2
800.0,0.5083,0.2
810.0,0.5129,0.2
820.0,0.51635,0.2
830.0,0.5175,0.2
840.0,0.51635,0.2
850.0,0.5152,0.2
860.0,0.50945,0.2
870.0,0.5014,0.2
880.0,0.49105,0.2
890.0,0.4784,0.2
900.0,0.4623,0.2
910.0,0.44275,0.2
920.0,0.4209,0.2
930.0,0.3956,0.2
940.0,0.368,0.2
950.0,0.33925,0.2
960.0,0.3082,0.72
970.0,0.27715,0.82
980.0,0.24495,0.94
990.0,0.2139,1.0
1000.0,0.18285,1.2
1010.0,0.133,1.0
1020.0,0.109,1.4
1030.0,0.0858,1.6
1040.0,0.066,1.8
1050.0,0.0491,2.0
1060.0,0.0355,2.2
1070.0,0.0264,2.4
1080.0,0.0205,2.6
1090.0,0.0159,2.8
1100.0,0.0122,2.9
