Wavelength [nm],Absolute Responsivity [A/W],Relative Expanded Uncertainty (k=2) [%]
200.0,0.082025,6.0
210.0,0.07973,3.9
220.0,0.077095,2.0
230.0,0.077095,2.0
240.0,0.07905,2.0
250.0,0.071655,2.0
260.0,0.06375,2.0
270.0,0.057715,1.1
280.0,0.06069,1.1
290.0,0.070465,1.1
300.0,0.08585,1.1
310.0,0.09435,1.0
320.0,0.1003,1.1
330.0,0.10285,1.1
340.0,0.1054,1.1
350.0,0.1071,0.56
360.0,0.1054,0.5
370.0,0.10795,0.48
380.0,0.11985,0.46
390.0,0.1326,0.4
400.0,0.1428,0.38
410.0,0.15215,0.34
420.0,0.1598,0.32
430.0,0.16745,0.3
440.0,0.1751,0.28
450.0,0.1819,0.24
460.0,0.1887,0.24
470.0,0.19465,0.22
480.0,0.20145,0.22
490.0,0.2091,0.22
500.0,0.21505,0.22
510.0,0.221,0.22
520.0,0.22695,0.2
530.0,0.2312,0.2
540.0,0.23715,0.2
550.0,0.2431,0.2
560.0,0.2482,0.2
570.0,0.25415,0.2
580.0,0.2601,0.2
590.0,0.2652,0.2
600.0,0.2703,0.2
610.0,0.2754,0.2
620.0,0.28135,0.2
630.0,0.28645,0.2
640.0,0.29155,0.2
650.0,0.2975,0.2
660.0,0.30345,0.2
670.0,0.30855,0.2
680.0,0.31365,0.2
690.0,0.3196,0.2
700.0,0.3247,0.2
710.0,0.33065,0.2
720.0,0.33575,0.2
730.0,0.3417,0.2
740.0,0.34765,0.2
750.0,0.3553,0.2
760.0,0.357,0.2
770.0,0.3621,0.2
780.0,0.36805,0.2
790.0,0.37145,0.2
800.0,0.3757,0.2
810.0,0.3791,0.2
820.0,0.38165,0.2
830.0,0.3825,0.2
840.0,0.38165,0.2
850.0,0.3808,0.2
860.0,0.37655,0.2
870.0,0.3706,0.2
880.0,0.36295,0.2
890.0,0.3536,0.2
900.0,0.3417,0.2
910.0,0.32725,0.2
920.0,0.3111,0.2
930.0,0.2924,0.2
940.0,0.272,0.2
950.0,0.25075,0.2
960.0,0.2278,0.72
970.0,0.20485,0.82
980.0,0.18105,0.94
990.0,0.1581,1.0
1000.0,0.13515,1.2
1010.0,0.11305,1.0
1020.0,0.09265,1.4
1030.0,0.07293,1.6
1040.0,0.0561,1.8
1050.0,0.041735,2.0
1060.0,0.030175,2.2
1070.0,0.02244,2.4
1080.0,0.017425,2.6
1090.0,0.013515,2.8
1100.0,0.01037,2.9
