Wavelength [nm], Absolute Responsivity [A/W], Quantum Efficiency [electron/photon], Relative Uncertainty [%]
80.0,0.172,1.0,0.01204
81.8,0.1698,1.0,0.010188
84.4,0.1648,1.0,0.009888
86.5,0.1627,1.0,0.009762
88.6,0.1624,1.0,0.009744
92.0,0.164,1.0,0.00984
116.4,0.1591,1.0,0.014319
118.0,0.1508,1.0,0.013572
121.6,0.1571,1.0,0.014139
125.4,0.1653,1.0,0.003306
135.4,0.1561,1.0,0.003122
140.3,0.1482,1.0,0.002964
144.1,0.1431,1.0,0.002862
148.7,0.1357,1.0,0.002714
154.5,0.1307,1.0,0.002614
160.8,0.1246,1.0,0.002492
164.8,0.1188,1.0,0.002376
170.0,0.1091,1.0,0.002182
175.0,0.104,1.0,0.00208
182.3,0.0993,1.0,0.001986
187.9,0.0976,1.0,0.001952
193.7,0.0953,1.0,0.001906
200.0,0.0921,1.0,0.001842
206.7,0.0892,1.0,0.001784
213.8,0.115027272727,1.0,0.001766
221.4,0.111,1.0,0.0017
229.6,0.111227272727,1.0,0.00177
238.5,0.115290909091,1.0,0.001804
253.7,0.100127272727,1.0,0.001548
