Wavelength [nm], Absolute Responsivity [A/W], Quantum Efficiency [electron/photon], Relative Uncertainty [%]
80.0,0.143242424242,1.0,0.01204
81.8,0.139151515152,1.0,0.010188
84.4,0.136121212121,1.0,0.009888
86.5,0.129727272727,1.0,0.009762
88.6,0.129151515152,1.0,0.009744
92.0,0.130515151515,1.0,0.00984
116.4,0.126757575758,1.0,0.014319
118.0,0.120151515152,1.0,0.013572
121.6,0.123181818182,1.0,0.014139
125.4,0.130121212121,1.0,0.003306
135.4,0.135181818182,1.0,0.003122
140.3,0.133939393939,1.0,0.002964
144.1,0.134,1.0,0.002862
148.7,0.131878787879,1.0,0.002714
154.5,0.133181818182,1.0,0.002614
160.8,0.129878787879,1.0,0.002492
164.8,0.125181818182,1.0,0.002376
170.0,0.116545454545,1.0,0.002182
175.0,0.111484848485,1.0,0.00208
182.3,0.107454545455,1.0,0.001986
187.9,0.10603030303,1.0,0.001952
193.7,0.102666666667,1.0,0.001906
200.0,0.0983636363636,1.0,0.001842
206.7,0.0946363636364,1.0,0.001784
213.8,0.0940909090909,1.0,0.001766
221.4,0.0906333333333,1.0,0.0017
229.6,0.0934242424242,1.0,0.00177
238.5,0.0956363636364,1.0,0.001804
253.7,0.0823242424242,1.0,0.001548
