Wavelength,Time,Pressure,Dark,DarkUnc,Lamp,LampUnc,Sample,SampleUnc
130,,,0.00037,0.0001187434,0.93834,0.0004029888,0.00683,0.0001268858
140,,,0.00043,7.81025e-05,5.4847,0.002968164,0.04688,8.717798e-05
150,,,0.00043,0.0001417745,13.2712,0.0007483315,0.14018,0.0001661325
160,,,0.00039,9.433981e-05,33.031,0.01640122,0.42183,0.0005967411
170,,,0.0004,7.745967e-05,3.756,0.001414214,0.05471,0.0001135782
180,,,0.00044,0.000174356,2.2508,0.00116619,0.03662,0.00014
190,,,0.00057,0.0001187434,2.5125,0.0005,0.04278,7.483315e-05
200,,,0.00054,0.0001019804,2.4,8.673617e-10,0.04587,0.0001004988
210,,,0.0007,0.0001183216,1.09504,0.0001356466,0.0256,0.0001788854
220,,,0.0007,0.0001549193,1.18012,0.0002181742,0.03405,0.0001024695
230,,,0.00078,9.797959e-05,1.13991,0.0002507987,0.03702,0.000116619
240,,,0.00058,8.717798e-05,1.06204,0.008843891,0.0345,0.0003130495
250,,,0.00063,0.0001552417,0.83676,0.0003136877,0.03019,7e-05
