Wavelength [nm],Absolute Responsivity [A/W],Relative Expanded Uncertainty (k=2) [%]
200,9.65E-02,6
210,9.38E-02,3.9
220,9.07E-02,2
230,9.07E-02,2
240,9.30E-02,2
250,8.43E-02,2
260,7.50E-02,2
270,6.79E-02,1.1
280,7.14E-02,1.1
290,8.29E-02,1.1
300,1.01E-01,1.1
310,1.11E-01,1
320,1.18E-01,1.1
330,1.21E-01,1.1
340,1.24E-01,1.1
350,1.26E-01,0.56
360,1.24E-01,0.5
370,1.27E-01,0.48
380,1.41E-01,0.46
390,1.56E-01,0.4
400,1.68E-01,0.38
410,1.79E-01,0.34
420,1.88E-01,0.32
430,1.97E-01,0.3
440,2.06E-01,0.28
450,2.14E-01,0.24
460,2.22E-01,0.24
470,2.29E-01,0.22
480,2.37E-01,0.22
490,2.46E-01,0.22
500,2.53E-01,0.22
510,2.60E-01,0.22
520,2.67E-01,0.2
530,2.72E-01,0.2
540,2.79E-01,0.2
550,2.86E-01,0.2
560,2.92E-01,0.2
570,2.99E-01,0.2
580,3.06E-01,0.2
590,3.12E-01,0.2
600,3.18E-01,0.2
610,3.24E-01,0.2
620,3.31E-01,0.2
630,3.37E-01,0.2
640,3.43E-01,0.2
650,3.50E-01,0.2
660,3.57E-01,0.2
670,3.63E-01,0.2
680,3.69E-01,0.2
690,3.76E-01,0.2
700,3.82E-01,0.2
710,3.89E-01,0.2
720,3.95E-01,0.2
730,4.02E-01,0.2
740,4.09E-01,0.2
750,4.18E-01,0.2
760,4.20E-01,0.2
770,4.26E-01,0.2
780,4.33E-01,0.2
790,4.37E-01,0.2
800,4.42E-01,0.2
810,4.46E-01,0.2
820,4.49E-01,0.2
830,4.50E-01,0.2
840,4.49E-01,0.2
850,4.48E-01,0.2
860,4.43E-01,0.2
870,4.36E-01,0.2
880,4.27E-01,0.2
890,4.16E-01,0.2
900,4.02E-01,0.2
910,3.85E-01,0.2
920,3.66E-01,0.2
930,3.44E-01,0.2
940,3.20E-01,0.2
950,2.95E-01,0.2
960,2.68E-01,0.72
970,2.41E-01,0.82
980,2.13E-01,0.94
990,1.86E-01,1
1000,1.59E-01,1.2
1010,1.33E-01,1
1020,1.09E-01,1.4
1030,8.58E-02,1.6
1040,6.60E-02,1.8
1050,4.91E-02,2
1060,3.55E-02,2.2
1070,2.64E-02,2.4
1080,2.05E-02,2.6
1090,1.59E-02,2.8
1100,1.22E-02,2.9
